Var1,Freq,Old category,New category,Bot
PBS has been around my entire life. it is a very trusted form of my tv experience,1,PBS has been around my entire life. it is a very trusted form of my tv experience,"Nostalgia, familiarity, and comfort",
PBS HAS BEEN AROUND SINCE MY CHILDREN WERE YOUNG. THEY ALWAYS HAD MY TRUST BECAUSE ITS NOt influenced by advertisers.  Its a non profit organization and provides programming without the annoying adsINFL,1,PBS HAS BEEN AROUND SINCE MY CHILDREN WERE YOUNG. THEY ALWAYS HAD MY TRUST BECAUSE ITS NOt influenced by advertisers.  Its a non profit organization and provides programming without the annoying adsINFL,"Nostalgia, familiarity, and comfort",
"PBS has been the only thing that has been consistently trustworthy, informative, and entertaining in my life, from when I was a child to present. PBS isn't influenced by advertisers or politicians, and PBS operates with the utmost integrity.",1,"PBS has been the only thing that has been consistently trustworthy, informative, and entertaining in my life, from when I was a child to present. PBS isn't influenced by advertisers or politicians, and PBS operates with the utmost integrity.","Nostalgia, familiarity, and comfort",
PBS has been trustworthy for decades,1,PBS has been trustworthy for decades,"Nostalgia, familiarity, and comfort",
PBS has just been broadcasting for so long that one can’t help but trust in them.,1,PBS has just been broadcasting for so long that one can’t help but trust in them.,"Nostalgia, familiarity, and comfort",
PBS integrity and authenticity.,1,PBS integrity and authenticity.,Other,
PBS is a very good media for us.,1,PBS is a very good media for us.,Other,
PBS is a very good medium in America and there is always a good service.,1,PBS is a very good medium in America and there is always a good service.,Other,
"PBS is beholden to special interests.  People provide support and if they are unhappy with the presentations of PBS, they will not support or go elsewhere  and support other venues.",1,"PBS is beholden to special interests.  People provide support and if they are unhappy with the presentations of PBS, they will not support or go elsewhere  and support other venues.",Public funding,
PBS is better than all of the other news Stations - but that is not saying much.  If you eliminate adjectives in your stories it would be better,1,PBS is better than all of the other news Stations - but that is not saying much.  If you eliminate adjectives in your stories it would be better,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is fair and unbiased and I grew up watching their programming.,1,PBS is fair and unbiased and I grew up watching their programming.,"Nostalgia, familiarity, and comfort",
"PBS is locally, publically based",1,"PBS is locally, publically based",Structure of the network,
"PBS is located all most the other side of the globe: but the news, content and happenings are somewhat the same as the USA. I love to watch PBS content as I can trust and totally relate with the progressive programs",1,"PBS is located all most the other side of the globe: but the news, content and happenings are somewhat the same as the USA. I love to watch PBS content as I can trust and totally relate with the progressive programs",Structure of the network,
PBS is more honest than others,1,PBS is more honest than others,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is more likely than others to report facts,1,PBS is more likely than others to report facts,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is only .001% funded by the government and they are totally not bias under any circumstance,1,PBS is only .001% funded by the government and they are totally not bias under any circumstance,Public funding,
PBS is publicly funded and not have an agenda for advertising and customers.,1,PBS is publicly funded and not have an agenda for advertising and customers.,Public funding,
PBS is publicly funded and unbiased,1,PBS is publicly funded and unbiased,Public funding,
PBS is reporting news the way they see,1,PBS is reporting news the way they see,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is the best public broadcast service and I like it very much and I trust it very much,1,PBS is the best public broadcast service and I like it very much and I trust it very much,Other,
PBS is the Most Trusted Source for News and Public Affairs,1,PBS is the Most Trusted Source for News and Public Affairs,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is the most trusted source for News and Public affairs.,1,PBS is the most trusted source for News and Public affairs.,"News exhibits political moderation, unbiasedness, or accuracy",
"PBS is the Most Trusted Source for News and Public Affairs. When asked which networks I trust most when it comes to news and public affairs programming, respondents ranked PBS #1, ahead of the major broadcast and cable news networks.",1,"PBS is the Most Trusted Source for News and Public Affairs. When asked which networks I trust most when it comes to news and public affairs programming, respondents ranked PBS #1, ahead of the major broadcast and cable news networks.","News exhibits political moderation, unbiasedness, or accuracy",
PBS is the trust news source,1,PBS is the trust news source,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is transparent and always accountable.,1,PBS is transparent and always accountable.,Other,
PBS is trustworthy and unbias,1,PBS is trustworthy and unbias,"News exhibits political moderation, unbiasedness, or accuracy",
PBS is unbiased. It offers programs for all. I am grateful for the educational programs that they offered more than 40 years ago when my children were young.,1,PBS is unbiased. It offers programs for all. I am grateful for the educational programs that they offered more than 40 years ago when my children were young.,"Nostalgia, familiarity, and comfort",
PBS news is quality of the news,1,PBS news is quality of the news,"News exhibits political moderation, unbiasedness, or accuracy",
PBS Newshour has has done excellent reporting for many years,1,PBS Newshour has has done excellent reporting for many years,"News exhibits political moderation, unbiasedness, or accuracy",
"PBS Newshour is the best news program on TV, hands down.",1,"PBS Newshour is the best news program on TV, hands down.","News exhibits political moderation, unbiasedness, or accuracy",
PBS programming is usually not biased.,1,PBS programming is usually not biased.,"News exhibits political moderation, unbiasedness, or accuracy",
PBS provides a neutral bias on both sides which I like a lot.,1,PBS provides a neutral bias on both sides which I like a lot.,"News exhibits political moderation, unbiasedness, or accuracy",
PBS provides an excellent variety of programs.,1,PBS provides an excellent variety of programs.,Range and diversity of programming,
PBS provides quality programming and new reports that are outstanding in all aspects: from content to production values.,1,PBS provides quality programming and new reports that are outstanding in all aspects: from content to production values.,High quality programming,
PBS quality is best,1,PBS quality is best,High quality programming,
PBS seems to give a perspective of both sides 90% of the time sometimes they lean left sometimes they lean right mainly just reporting information without a opinion or at least not forcing the public or it’s listeners to adhere to what they think standards should be its raw and real I’ve listened for years when I’m not in agreement I don’t immediately shut off the news because they are calm and effective at communicating their views without being overbearing.,1,PBS seems to give a perspective of both sides 90% of the time sometimes they lean left sometimes they lean right mainly just reporting information without a opinion or at least not forcing the public or it’s listeners to adhere to what they think standards should be its raw and real I’ve listened for years when I’m not in agreement I don’t immediately shut off the news because they are calm and effective at communicating their views without being overbearing.,"News exhibits political moderation, unbiasedness, or accuracy",
PBS trusted news provide us,1,PBS trusted news provide us,"News exhibits political moderation, unbiasedness, or accuracy",
PBS trusteed news provide us,1,PBS trusteed news provide us,"News exhibits political moderation, unbiasedness, or accuracy",
PBS was really great. I like it,1,PBS was really great. I like it,"Nostalgia, familiarity, and comfort",
PBS's broadcast signal is uniquely important to the 3.5 million American households that lack access to cable or the internet. so i like that,1,PBS's broadcast signal is uniquely important to the 3.5 million American households that lack access to cable or the internet. so i like that,Structure of the network,
People like me,1,People like me,"Nostalgia, familiarity, and comfort",
Perceived lack of bias in all aspects of its reporting,1,Perceived lack of bias in all aspects of its reporting,"News exhibits political moderation, unbiasedness, or accuracy",
personally i like very much PBS and very trusted.,1,personally i like very much PBS and very trusted.,Other,
please visit this,1,please visit this,Other,Bot
political,1,political,Other,
Positive news,1,Positive news,High quality programming,
POVs from other countries,1,POVs from other countries,High quality programming,
Price of donations per season,1,Price of donations per season,Public funding,
Primarily because it is funded by its own viewers.,1,Primarily because it is funded by its own viewers.,Public funding,
Primarily voluntary contributions without government or sponsorships dictates or demands.,1,Primarily voluntary contributions without government or sponsorships dictates or demands.,Public funding,
Privacy policy,1,Privacy policy,Structure of the network,
programming,1,programming,High quality programming,
Programming I have watched appears to be accurate.,1,Programming I have watched appears to be accurate.,High quality programming,
Programming that doesn't exist elsewhere,1,Programming that doesn't exist elsewhere,Range and diversity of programming,
Programming typically not found on network or cable channels,1,Programming typically not found on network or cable channels,Range and diversity of programming,
programs contain many facts and backgrounds that I find interesting and believeable,1,programs contain many facts and backgrounds that I find interesting and believeable,High quality programming,
Provide best service,1,Provide best service,High quality programming,
provide exactly information to the readers,1,provide exactly information to the readers,High quality programming,
provide true news,1,provide true news,High quality programming,
Provides programing for all without the influence of commercial entities,1,Provides programing for all without the influence of commercial entities,Public funding,
Provides quality,1,Provides quality,High quality programming,
Public,1,Public,Public funding,
public broadcasting is reliable,1,public broadcasting is reliable,High quality programming,
Public funded,2,Public funded,Public funding,
Public Funded,1,Public Funded,Public funding,
Public fundin,1,Public fundin,Public funding,
public funding,2,public funding,Public funding,
Public funding,3,Public funding,Public funding,
Public Funding,2,Public Funding,Public funding,
Public funding no influence from advertisers,1,Public funding no influence from advertisers,Public funding,
"Public funding, not influenced by advertising",1,"Public funding, not influenced by advertising",Public funding,
Public owned,1,Public owned,Public funding,
public T.V,1,public T.V,Public funding,
Public trust,1,Public trust,Public funding,
Publically funded,2,Publically funded,Public funding,
Publically funded leans to left,1,Publically funded leans to left,Public funding,
Publically funded!,1,Publically funded!,Public funding,
Publickly funded,1,Publickly funded,Public funding,
publicly funded,2,publicly funded,Public funding,
Publicly funded,1,Publicly funded,Public funding,
PUBLICLY FUNDED,1,PUBLICLY FUNDED,Public funding,
Publicly funded - not the governments puppet.,1,Publicly funded - not the governments puppet.,Public funding,
publicly funded and not too biased.,1,publicly funded and not too biased.,Public funding,
"Publicly funded, non-profit, accessibility",1,"Publicly funded, non-profit, accessibility",Public funding,
"publicly owned, local affiliate",1,"publicly owned, local affiliate",Public funding,
PUBLICY,1,PUBLICY,Public funding,
Publixcly funded,1,Publixcly funded,Public funding,
"Purpose, precedure",1,"Purpose, precedure",Other,
qualit of the news,1,qualit of the news,High quality programming,
quality,2,quality,High quality programming,
Quality,3,Quality,High quality programming,
quality and diversity of programs   also public funding,1,quality and diversity of programs   also public funding,High quality programming,
Quality and empowered,1,Quality and empowered,High quality programming,
Quality and facts,1,Quality and facts,High quality programming,
Quality and trust,1,Quality and trust,High quality programming,
quality content,1,quality content,High quality programming,
Quality is the best of news,1,Quality is the best of news,High quality programming,
Quality news,4,Quality news,High quality programming,
Quality news with transparency,1,Quality news with transparency,High quality programming,
Quality of information,2,Quality of information,High quality programming,
quality of news,1,quality of news,High quality programming,
Quality of news,4,Quality of news,High quality programming,
Quality of News,1,Quality of News,High quality programming,
Quality of news provided is true and not bias.,1,Quality of news provided is true and not bias.,High quality programming,
Quality of programme they offer unbias,1,Quality of programme they offer unbias,High quality programming,
Quality of programming,2,Quality of programming,High quality programming,
Quality of programming and being commercial free,1,Quality of programming and being commercial free,High quality programming,
"quality of programming, unbiased news reporting",1,"quality of programming, unbiased news reporting",High quality programming,
quality of shows and people,1,quality of shows and people,High quality programming,
quality of the news,2,quality of the news,High quality programming,
Quality of the news,3,Quality of the news,High quality programming,
Quality of the news and non biased,1,Quality of the news and non biased,High quality programming,
quality programming,1,quality programming,High quality programming,
"Quality programming, excellent children’s programming",1,"Quality programming, excellent children’s programming",High quality programming,
Quality service,1,Quality service,High quality programming,
"Quality, Dependable, Honest",1,"Quality, Dependable, Honest",High quality programming,
Qualtiy of news,1,Qualtiy of news,High quality programming,
quantity of news,1,quantity of news,High quality programming,
Range of programming,1,Range of programming,Range and diversity of programming,
Range of programs,1,Range of programs,Range and diversity of programming,
Real history,1,Real history,"News exhibits political moderation, unbiasedness, or accuracy",
Realible news,1,Realible news,"News exhibits political moderation, unbiasedness, or accuracy",
Really love the quality and details of their news,1,Really love the quality and details of their news,High quality programming,
Reduced my work rate and my fun,1,Reduced my work rate and my fun,Other,
Relevance,1,Relevance,"News exhibits political moderation, unbiasedness, or accuracy",
Reliable,1,Reliable,"News exhibits political moderation, unbiasedness, or accuracy",
Reliable news source,1,Reliable news source,"News exhibits political moderation, unbiasedness, or accuracy",
Reports real news for real people.,1,Reports real news for real people.,High quality programming,
reputable,1,reputable,"News exhibits political moderation, unbiasedness, or accuracy",
reputation and watching all the time,1,reputation and watching all the time,"News exhibits political moderation, unbiasedness, or accuracy",
Safety,1,Safety,Other,
satisfai,1,satisfai,Other,Bot
scecfic programs,1,scecfic programs,A specific show or program,
Security,1,Security,"Nostalgia, familiarity, and comfort",
Seems neutral,1,Seems neutral,"News exhibits political moderation, unbiasedness, or accuracy",
Seems to be a more educated people watch the station,1,Seems to be a more educated people watch the station,High quality programming,
Sense in a senseless time,1,Sense in a senseless time,"News exhibits political moderation, unbiasedness, or accuracy",
Sesame Street,1,Sesame Street,A specific show or program,
Sesame Street has promoted societal issues since its inception,1,Sesame Street has promoted societal issues since its inception,A specific show or program,
Shows not available in other formats,1,Shows not available in other formats,Range and diversity of programming,
similer in time and logical,1,similer in time and logical,Other,
"simple, no frills",1,"simple, no frills",Other,
Simply because of children programs,1,Simply because of children programs,Children's and educational programming,
"Since childhood, PBS has always been dependable, trustworthy and professional.  When unable to really see through the muck of other news stations, PBS shines clearer than other news agencies.",1,"Since childhood, PBS has always been dependable, trustworthy and professional.  When unable to really see through the muck of other news stations, PBS shines clearer than other news agencies.","News exhibits political moderation, unbiasedness, or accuracy",
"So if Google was about providing you access to all the information, Facebook ... Well, the one thing that Mark Zuckerberg has been so good at is being ... Some of the problems that have reared their head with Facebook over the past couple of years seemed to have been caused in some ways by this exponential growth.",1,"So if Google was about providing you access to all the information, Facebook ... Well, the one thing that Mark Zuckerberg has been so good at is being ... Some of the problems that have reared their head with Facebook over the past couple of years seemed to have been caused in some ways by this exponential growth.",Other,
"Some programs are very informative, such as your documentaries.",1,"Some programs are very informative, such as your documentaries.",High quality programming,
"Some programs peak my interest, while others are boring in presentation. I also have an issue with ""transparency"" on talent salaries and not running commercials that we assume are not, but are call to action. Sorry those are negatives.",1,"Some programs peak my interest, while others are boring in presentation. I also have an issue with ""transparency"" on talent salaries and not running commercials that we assume are not, but are call to action. Sorry those are negatives.",Other,
somewhat,1,somewhat,Other,Bot
Somewhat good to use.,1,Somewhat good to use.,Other,
specific programs,1,specific programs,A specific show or program,
State news show totally straight,1,State news show totally straight,"News exhibits political moderation, unbiasedness, or accuracy",
Strength,1,Strength,Other,Bot
Supported by intelligent people.,1,Supported by intelligent people.,Public funding,
Supported by Viewers,1,Supported by Viewers,Public funding,
"Tap on a clip to paste it in the text box.Welcome to Gboard clipboard, any text you copy will be saved here.",1,"Tap on a clip to paste it in the text box.Welcome to Gboard clipboard, any text you copy will be saved here.",Other,Bot
Teachers,1,Teachers,Children's and educational programming,
Television station s,1,Television station s,Other,
tells the full story,1,tells the full story,"News exhibits political moderation, unbiasedness, or accuracy",
Thanks for your help,1,Thanks for your help,Other,Bot
Thanks for your help with the opportunity,1,Thanks for your help with the opportunity,Other,Bot
That it is publicly funded,1,That it is publicly funded,Public funding,
that's good,1,that's good,Other,Bot
The accuracy in reporting through the years,1,The accuracy in reporting through the years,"News exhibits political moderation, unbiasedness, or accuracy",
The accuracy of need you provide,1,The accuracy of need you provide,"News exhibits political moderation, unbiasedness, or accuracy",
The are good,1,The are good,High quality programming,
the are great,1,the are great,High quality programming,
The are not afraid to tell the truth,1,The are not afraid to tell the truth,"News exhibits political moderation, unbiasedness, or accuracy",
The best,1,The best,High quality programming,
The children's programming is very educational and consistent,1,The children's programming is very educational and consistent,Children's and educational programming,
"The contest is typically not too focused on politics, but rather, other important areas of life.",1,"The contest is typically not too focused on politics, but rather, other important areas of life.","News exhibits political moderation, unbiasedness, or accuracy",
The diversity and lack of political agenda,1,The diversity and lack of political agenda,"News exhibits political moderation, unbiasedness, or accuracy",
The diversity of the people and issues presented.,1,The diversity of the people and issues presented.,"News exhibits political moderation, unbiasedness, or accuracy",
"The Education leve,l and accuracy of news.",1,"The Education leve,l and accuracy of news.","News exhibits political moderation, unbiasedness, or accuracy",
The effort taken to create a sort of safe space for individuals who watch it regularly,1,The effort taken to create a sort of safe space for individuals who watch it regularly,"Nostalgia, familiarity, and comfort",
The fact that they aren't biase,1,The fact that they aren't biase,"News exhibits political moderation, unbiasedness, or accuracy",
The format is appealing because the people who run the programs are educated & keep current with the times we live in.,1,The format is appealing because the people who run the programs are educated & keep current with the times we live in.,High quality programming,
the government has no say,1,the government has no say,Public funding,
the govt. and advertising has no hold on them,1,the govt. and advertising has no hold on them,Public funding,
The have great programs,1,The have great programs,High quality programming,
the high quality of the programs and the continued high quality of the way the news and programs are presented in a fair and unbbiaed manner a,1,the high quality of the programs and the continued high quality of the way the news and programs are presented in a fair and unbbiaed manner a,High quality programming,
The in depth analysis and quality of the news,1,The in depth analysis and quality of the news,"News exhibits political moderation, unbiasedness, or accuracy",
The kids programs,1,The kids programs,Children's and educational programming,
the main  reason of my trust that it always provide accurate.,1,the main  reason of my trust that it always provide accurate.,"News exhibits political moderation, unbiasedness, or accuracy",
The main reason i trust PBS is the lack of advertiser influence.,1,The main reason i trust PBS is the lack of advertiser influence.,Public funding,
the main reason trust pbs,1,the main reason trust pbs,Other,
the main reason was they provide real news,1,the main reason was they provide real news,"News exhibits political moderation, unbiasedness, or accuracy",
The main reasons I trust that is because it is informative.,1,The main reasons I trust that is because it is informative.,"News exhibits political moderation, unbiasedness, or accuracy",
The news,2,The news,"News exhibits political moderation, unbiasedness, or accuracy",
the news here is unbiased,1,the news here is unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
the news of this always true,1,the news of this always true,"News exhibits political moderation, unbiasedness, or accuracy",
The news they report is actually true and not embellished.,1,The news they report is actually true and not embellished.,"News exhibits political moderation, unbiasedness, or accuracy",
The newscasters involved appear to be more logical and intelligent than other sources of news.,1,The newscasters involved appear to be more logical and intelligent than other sources of news.,"News exhibits political moderation, unbiasedness, or accuracy",
"The one place on ""TV"" where financial gain of the stake-holders simply does not apply.",1,"The one place on ""TV"" where financial gain of the stake-holders simply does not apply.",Public funding,
the paid .,1,the paid .,Other,
The people involved with the news programming are as solid and professional as exiasts anywhere.,1,The people involved with the news programming are as solid and professional as exiasts anywhere.,"News exhibits political moderation, unbiasedness, or accuracy",
"the perception of ""fairness""",1,"the perception of ""fairness""","News exhibits political moderation, unbiasedness, or accuracy",
The present both sides of an issue and let the viewers form their own opinions from the reported content.,1,The present both sides of an issue and let the viewers form their own opinions from the reported content.,"News exhibits political moderation, unbiasedness, or accuracy",
The program,1,The program,High quality programming,
The program overall promotes equality and peace.,1,The program overall promotes equality and peace.,High quality programming,
the provide correct news and Program,1,the provide correct news and Program,"News exhibits political moderation, unbiasedness, or accuracy",
"The quality of the news, along with its relative lack of bias. Its lack of sensationalism, and its usually intelligent way of presenting information.",1,"The quality of the news, along with its relative lack of bias. Its lack of sensationalism, and its usually intelligent way of presenting information.","News exhibits political moderation, unbiasedness, or accuracy",
The quality of the shows stands out the most.,1,The quality of the shows stands out the most.,High quality programming,
The quality off news is verry good,1,The quality off news is verry good,"News exhibits political moderation, unbiasedness, or accuracy",
The security system they have,1,The security system they have,Structure of the network,
The sense that the presenters are fair and accurate.,1,The sense that the presenters are fair and accurate.,"News exhibits political moderation, unbiasedness, or accuracy",
the wide range of programming,1,the wide range of programming,Range and diversity of programming,
Their ability to show different perspectives and voices in a non biased way.,1,Their ability to show different perspectives and voices in a non biased way.,"News exhibits political moderation, unbiasedness, or accuracy",
their news matches reality well,1,their news matches reality well,"News exhibits political moderation, unbiasedness, or accuracy",
Their programming,1,Their programming,High quality programming,
Their service is very good.,1,Their service is very good.,High quality programming,
Their stories about the native americans and african americans is by far above any publication.,1,Their stories about the native americans and african americans is by far above any publication.,Range and diversity of programming,
theoretically they are not swayed by government (which does fund them) or advertisers (who also fund them),1,theoretically they are not swayed by government (which does fund them) or advertisers (who also fund them),Public funding,
There are some important reason.,1,There are some important reason.,Other,
There are still people programing in the public interest,1,There are still people programing in the public interest,High quality programming,
There kids program,1,There kids program,Children's and educational programming,
There libarel news,1,There libarel news,Other,
There news is unbiased,1,There news is unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
they  care about truth and knowlwdge,1,they  care about truth and knowlwdge,"News exhibits political moderation, unbiasedness, or accuracy",
They admit when they have made an error,1,They admit when they have made an error,"News exhibits political moderation, unbiasedness, or accuracy",
"they always present a balanced & transparent news & programming & they use primary, legitimate sources for their information",1,"they always present a balanced & transparent news & programming & they use primary, legitimate sources for their information","News exhibits political moderation, unbiasedness, or accuracy",
They always try to provide us with facts and they are a good program for kids.,1,They always try to provide us with facts and they are a good program for kids.,"News exhibits political moderation, unbiasedness, or accuracy",
They are a good source for unbiased news.,1,They are a good source for unbiased news.,"News exhibits political moderation, unbiasedness, or accuracy",
They are a reliable source,1,They are a reliable source,"News exhibits political moderation, unbiasedness, or accuracy",
they are above intelligence,1,they are above intelligence,High quality programming,
they are always truthful,1,they are always truthful,"News exhibits political moderation, unbiasedness, or accuracy",
They are autonomous and are not bound to advertisers or political people,1,They are autonomous and are not bound to advertisers or political people,Public funding,
they are biden supporters,1,they are biden supporters,Other,
They are dedicated to bringing the best high quality  programming. They have high moral standards.,1,They are dedicated to bringing the best high quality  programming. They have high moral standards.,High quality programming,
they are diverse and very open with what’s going on in the world,1,they are diverse and very open with what’s going on in the world,Range and diversity of programming,
They are fair and are committed to excellence,1,They are fair and are committed to excellence,"News exhibits political moderation, unbiasedness, or accuracy",
They are fair and speak the truth and also transparent,1,They are fair and speak the truth and also transparent,"News exhibits political moderation, unbiasedness, or accuracy",
They are funded by the local community,1,They are funded by the local community,Public funding,
They are genuine,1,They are genuine,"News exhibits political moderation, unbiasedness, or accuracy",
They are neutral,1,They are neutral,"News exhibits political moderation, unbiasedness, or accuracy",
They are nice,1,They are nice,"Nostalgia, familiarity, and comfort",
they are not as sensational in presenting news like other programs and have a host of speakers on various topics,1,they are not as sensational in presenting news like other programs and have a host of speakers on various topics,"News exhibits political moderation, unbiasedness, or accuracy",
They are not beholden to any corporate entity.,1,They are not beholden to any corporate entity.,Public funding,
They are not bias!,1,They are not bias!,"News exhibits political moderation, unbiasedness, or accuracy",
they are not biased,1,they are not biased,"News exhibits political moderation, unbiasedness, or accuracy",
They are not biased and are way more transparent as to where they got their info,1,They are not biased and are way more transparent as to where they got their info,"News exhibits political moderation, unbiasedness, or accuracy",
They are not biased and it's a great channel for the kids,1,They are not biased and it's a great channel for the kids,"News exhibits political moderation, unbiasedness, or accuracy",
They are not influenced by outsiders,1,They are not influenced by outsiders,Public funding,
They are not influenced by politics,1,They are not influenced by politics,"News exhibits political moderation, unbiasedness, or accuracy",
They are not influenced by the government.,1,They are not influenced by the government.,"News exhibits political moderation, unbiasedness, or accuracy",
They are not run by a political arm.,1,They are not run by a political arm.,"News exhibits political moderation, unbiasedness, or accuracy",
They are open and not leaning one way or another,1,They are open and not leaning one way or another,"News exhibits political moderation, unbiasedness, or accuracy",
They are politically unbiased.,1,They are politically unbiased.,"News exhibits political moderation, unbiasedness, or accuracy",
They are popular,1,They are popular,Other,
They are positive oriented and want to give correct information to the public.,1,They are positive oriented and want to give correct information to the public.,"News exhibits political moderation, unbiasedness, or accuracy",
They are pretty honest always,1,They are pretty honest always,"News exhibits political moderation, unbiasedness, or accuracy",
they are publicly owned,1,they are publicly owned,Public funding,
They are real!,1,They are real!,Other,
They are reliable,3,They are reliable,"News exhibits political moderation, unbiasedness, or accuracy",
They are special from others,1,They are special from others,Other,
They are the only source that seems truly impartial.,1,They are the only source that seems truly impartial.,"News exhibits political moderation, unbiasedness, or accuracy",
They are their own people and not answering to advertisers,1,They are their own people and not answering to advertisers,Public funding,
They are there for there for the general public.,1,They are there for there for the general public.,Public funding,
They are trust worthy,1,They are trust worthy,"News exhibits political moderation, unbiasedness, or accuracy",
They are trusting,1,They are trusting,Other,
They are trustworthy,1,They are trustworthy,"News exhibits political moderation, unbiasedness, or accuracy",
they are truthful,1,they are truthful,"News exhibits political moderation, unbiasedness, or accuracy",
they are viewer sponsored,1,they are viewer sponsored,Public funding,
"They attempt to present all sides. I like a lot of their British programming, too.",1,"They attempt to present all sides. I like a lot of their British programming, too.","News exhibits political moderation, unbiasedness, or accuracy",
They care about tgeir customers,1,They care about tgeir customers,Other,
They do not answer to any commercial interests.,1,They do not answer to any commercial interests.,Public funding,
They do not give their opinions on topics,1,They do not give their opinions on topics,"News exhibits political moderation, unbiasedness, or accuracy",
They do not have a hidden agenda.,1,They do not have a hidden agenda.,"News exhibits political moderation, unbiasedness, or accuracy",
They do there home work to show us the truth,1,They do there home work to show us the truth,"News exhibits political moderation, unbiasedness, or accuracy",
They don't have to cater to advertisers,1,They don't have to cater to advertisers,Public funding,
They don't have to satisfy any advertisers.,1,They don't have to satisfy any advertisers.,Public funding,
They don’t have an underlying agenda.,1,They don’t have an underlying agenda.,"News exhibits political moderation, unbiasedness, or accuracy",
"They don’t need advertising to fund their broadcasts, so corporations can’t sway them",1,"They don’t need advertising to fund their broadcasts, so corporations can’t sway them",Public funding,
They dont pressure ideas in your head.,1,They dont pressure ideas in your head.,"News exhibits political moderation, unbiasedness, or accuracy",
They dont seem like they lying,1,They dont seem like they lying,"News exhibits political moderation, unbiasedness, or accuracy",
they earned it,1,they earned it,Other,
They educate children,1,They educate children,Children's and educational programming,
They fact check everything,1,They fact check everything,"News exhibits political moderation, unbiasedness, or accuracy",
They gave genie new,1,They gave genie new,Other,Bot
They gave me the contact,1,They gave me the contact,Other,Bot
They give accurate information,1,They give accurate information,"News exhibits political moderation, unbiasedness, or accuracy",
They give authentic news which are devoid of government influence,1,They give authentic news which are devoid of government influence,"News exhibits political moderation, unbiasedness, or accuracy",
They give more indept news. The news features are more detailed.,1,They give more indept news. The news features are more detailed.,High quality programming,
They give people the benefit of doubt.,1,They give people the benefit of doubt.,"News exhibits political moderation, unbiasedness, or accuracy",
they h ave no commercials so aren't swayed by large companies and corporations that would feel entitled if they paid to advertise on PBS and it isn't biased by party affiliation,1,they h ave no commercials so aren't swayed by large companies and corporations that would feel entitled if they paid to advertise on PBS and it isn't biased by party affiliation,Public funding,
They have a great sources of information,1,They have a great sources of information,High quality programming,
They have been around for as long as I can remember,1,They have been around for as long as I can remember,"Nostalgia, familiarity, and comfort",
They have been around since i was a child and now my kids are watching them,1,They have been around since i was a child and now my kids are watching them,Children's and educational programming,
They have good intentions,1,They have good intentions,Other,
They have good kids shows,1,They have good kids shows,Children's and educational programming,
They have good reporters,1,They have good reporters,High quality programming,
they have great services.,1,they have great services.,High quality programming,
They have no reason to be otherwise.,1,They have no reason to be otherwise.,Other,
They have no underlying biases toward any political groups,1,They have no underlying biases toward any political groups,"News exhibits political moderation, unbiasedness, or accuracy",
They have programming that interests me,1,They have programming that interests me,High quality programming,
They have quality,1,They have quality,High quality programming,
They have quality programs and my kd likes itr,1,They have quality programs and my kd likes itr,High quality programming,
they have very good news,1,they have very good news,High quality programming,
They haven't given me a reason to distrust them,1,They haven't given me a reason to distrust them,Other,
They offer better services and products,1,They offer better services and products,High quality programming,
They often have opposing viewpoints and guests,1,They often have opposing viewpoints and guests,"News exhibits political moderation, unbiasedness, or accuracy",
They present both sides of an issue.  Try to be neutral,1,They present both sides of an issue.  Try to be neutral,"News exhibits political moderation, unbiasedness, or accuracy",
They present the news without leaning left or right.,1,They present the news without leaning left or right.,"News exhibits political moderation, unbiasedness, or accuracy",
They program the news to where people can understand and make a fair judgement.,1,They program the news to where people can understand and make a fair judgement.,"News exhibits political moderation, unbiasedness, or accuracy",
They provide  informations about current issues rightly,1,They provide  informations about current issues rightly,"News exhibits political moderation, unbiasedness, or accuracy",
They provide constant information about their business activities.,1,They provide constant information about their business activities.,Public funding,
They provide great content.,1,They provide great content.,High quality programming,
They provide just the facts.,1,They provide just the facts.,"News exhibits political moderation, unbiasedness, or accuracy",
They provide programming I can't get anywhere else with consistency,1,They provide programming I can't get anywhere else with consistency,Range and diversity of programming,
They provide quality and amazing programmes,1,They provide quality and amazing programmes,High quality programming,
They provide quality news,1,They provide quality news,High quality programming,
THEY PROVIDE SHOWS OF MUSIC AND HISTORY RELATIVE TO MY LIFE FROM ALL DECADES.,1,THEY PROVIDE SHOWS OF MUSIC AND HISTORY RELATIVE TO MY LIFE FROM ALL DECADES.,High quality programming,
They provide Trusted and natural news,1,They provide Trusted and natural news,"News exhibits political moderation, unbiasedness, or accuracy",
They provide variety of programs not chosen by politicians,1,They provide variety of programs not chosen by politicians,Range and diversity of programming,
They provied informason i need with no bisa,1,They provied informason i need with no bisa,"News exhibits political moderation, unbiasedness, or accuracy",
They report the news accurately,1,They report the news accurately,"News exhibits political moderation, unbiasedness, or accuracy",
They seem more like us and honest,1,They seem more like us and honest,"News exhibits political moderation, unbiasedness, or accuracy",
